,latent_shape_params,first_principal_component,second_principal_component,name
0,[-17.24  -0.74  -9.61  -8.7 ],-17.243544,-0.73778653,black_and_decker_unknown
1,[-18.49  -6.58 -16.71  -0.61],-18.491304,-6.5830812,bosch_gsb180_li
2,[ 70.68   5.34 -19.91   2.15],70.67904,5.3404417,bosch_psr1800_li
3,[  9.63 -52.61  12.09   1.28],9.62953,-52.613518,concept_drill
4,[ 5.31 21.58 36.01 21.43],5.311842,21.579353,dewalt_dcd780
5,[-16.25  22.65 -25.12  19.36],-16.246145,22.648415,dewalt_unknown
6,[-4.21  4.38 21.55  9.88],-4.213074,4.3803864,makita_bhp451
7,[-13.87 -10.12   1.56   3.03],-13.865251,-10.11762,makita_unknown
8,[  2.46  21.49  14.2  -42.92],2.4638572,21.490894,makita_xfd15
9,[-21.47  -0.2  -17.42  -3.47],-21.474792,-0.19681393,porter_cable_unknown
10,[-13.79  -5.93  -6.24 -10.13],-13.793602,-5.928434,solidworks_arp
