,latent_shape_params,first_principal_component,second_principal_component,name
0,[ -0.24 -11.39  -5.65  -3.66],-0.23502801,-11.387279,ycb_hammer
1,[-48.13  52.38   5.37  10.4 ],-48.13304,52.377964,used_hammer
2,[ -0.82 -10.45  -4.86  -5.09],-0.82194555,-10.452206,ball_peen_hammer
3,[ -1.69  -5.28 -13.38 -20.96],-1.6877333,-5.2771964,hammer_01
4,[-1.62 -7.2  -8.22 -5.89],-1.6247618,-7.200214,hammer_02
5,[ -5.47 -13.85 -12.54  -3.8 ],-5.4651895,-13.848822,hammer_03
6,[  0.66 -14.37  58.13  -9.43],0.6565194,-14.370558,hammer_04
7,[ -0.11 -26.24  -3.55  47.34],-0.10955653,-26.235174,impact_hammer
8,[  2.75 -10.    -4.33  -3.22],2.7460241,-9.998318,sludge_hammer
9,[ -7.65  -3.97 -16.58 -14.8 ],-7.6500373,-3.969242,turquoise_hammer
10,[ 6.21e+01  3.90e+01 -5.61e-02  5.44e+00],62.08973,38.97386,stanley_hammer
