,latent_shape_params,first_principal_component,second_principal_component,name
0,[0. 0.],0.0,0.0,white_blue_mug
1,[-36.54 -47.87],-36.54391,-47.87281,grey_mug
2,[-21.75  30.39],-21.751678,30.393778,pink_silver_mug
3,[-35.28  28.11],-35.277275,28.109781,mug_00
4,[14.44 -1.9 ],14.44106,-1.9008185,mug_01
5,[ 2.46 -1.97],2.45618,-1.9681419,mug_03
6,[14.36 -3.08],14.361115,-3.0834637,mug_04
7,[21.51  0.95],21.509361,0.95471233,mug_05
8,[10.85  0.5 ],10.845911,0.50311637,mug_06
9,[20.31  0.32],20.310455,0.3214509,mug_07
10,[ 9.65 -5.46],9.6487665,-5.457688,mug_10
