,first_principal_component,second_principal_component,name
0,tensor(170.1706),tensor(203.0613),bosch_gsb180_li
1,tensor(2678.6147),tensor(-73.5665),bosch_psr1800_li
2,tensor(200.4629),tensor(-1729.3148),concept_drill
3,tensor(680.6575),tensor(5.7330),dewalt_dcd780
4,tensor(128.0762),tensor(555.2339),dewalt_unknown
5,tensor(426.2314),tensor(-186.8372),makita_bhp451
6,tensor(-147.7878),tensor(131.8761),makita_unknown
7,tensor(633.2169),tensor(113.1158),makita_xfd15
8,tensor(-13.4409),tensor(52.5669),porter_cable_unknown
9,tensor(-65.3471),tensor(-50.4881),solidworks_arp
